migration_id,source_spreadsheet_id,source_tab,source_row,source_hash,prompt_id,base_prompt_id,parent_prompt_id,prompt_family,gem_id,prompt_profile,record_type,status,validation_status,is_reference_locked,raw_prompt_text,prompt_text_field_used,python_simplification_action,p137_correction_status,p133_compatibility_status,target_sheet,target_row_strategy,write_status,human_review_status,blockers
MIG-qaic_output_contract_row_9-1c5e9ea1cd01,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,9,1c5e9ea1cd01dfa272dbb51e8c2a26ae71128e2677ce814203a2aa7828a39042,qaic_output_contract_row_9,,,,UNKNOWN_GEM,,,,VALIDATED,False,Second objectif.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_10-c5700fa7e3a0,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,10,c5700fa7e3a094f7dd14ef9ecedeb3e7b96c75343ffd072e162b57e5ef8c695c,qaic_output_contract_row_10,,,,UNKNOWN_GEM,,,,VALIDATED,False,Runner/extension.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_11-cc4b3468fbfa,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,11,cc4b3468fbfaf1198f5c3fe3cbe5a36544b61d6854dce93f2f900d23bdb93753,qaic_output_contract_row_11,,,,UNKNOWN_GEM,,,,VALIDATED,False,Pas de trade sans SL.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_12-472193e5e547,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,12,472193e5e5477ad487dd6c0813b330b2a8b3e1b74a6efd5ad01435375d8061b4,qaic_output_contract_row_12,,,,UNKNOWN_GEM,,,,VALIDATED,False,Explainability obligatoire.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_13-a2ab50ea813e,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,13,a2ab50ea813ec4971e752cf93650b5395448d33a65ddda09d2321b022fd685d1,qaic_output_contract_row_13,,,,UNKNOWN_GEM,,,,VALIDATED,False,Gate anti hallucination.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-qaic_output_contract_row_14-829dfc4694b9,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,QAIC_OUTPUT_CONTRACT,14,829dfc4694b92bdf35afe58f2c11d57a51eaac0c5f3840a8273ae9eaf93d3dba,qaic_output_contract_row_14,,,,UNKNOWN_GEM,,,,VALIDATED,False,Traçabilité transition QAIC.,notes,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,BLOCKED,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,GEM_ID_MISSING
MIG-all_prompts-d8de7c02e47a,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,📘 PROMPT_LIBRARY,6,d8de7c02e47a895a0e3157be2fa0faa0bf22f20169839d0e5345ab9bc0bf6b79,ALL_PROMPTS,,,,Non renseigné,,CORE_CONTRACT,ACTIVE,READY_TO_TEST,False,Contrat socle — règles communes prompts/Gems,prompt_detail,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,READY_FOR_VALIDATION,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,
MIG-all_scoring_prompts-7a5e7cd9df31,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,📘 PROMPT_LIBRARY,7,7a5e7cd9df3164c9ae5e1cf20250786f4b6dafcd1692794f44dd42f2cd7d120b,ALL_SCORING_PROMPTS,,,SCORING_ANTI_HALLUCINATION_CONTRACT,ALL_GEMS_AND_QAIC_BRIDGE,ALL,CORE_CONTRACT,ACTIVE,READY_TO_TEST,False,"Use NOT_AVAILABLE, REVIEW_REQUIRED, or BLOCKED. Never infer hidden prices/positions.",prompt_template_to_copy,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,READY_FOR_VALIDATION,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,
MIG-runtime_profile-06dc3a3006bd,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,📘 PROMPT_LIBRARY,8,06dc3a3006bd41e3e661f6fde576d5541e27f276e2ad166cd503d451ba871594,RUNTIME_PROFILE,,,LEXIQUE_METHODS_SIGNALS_EDUCATIONAL,GEM_LEXIQUE_EDUCATIONAL,GEM_CURRENT_LEXIQUE,RUNTIME_PROFILE,ACTIVE,READY_TO_TEST,False,"Runtime profile: GEM_LEXIQUE_EDUCATIONAL. Return REVIEW_REQUIRED/BLOCKED when required data is missing. No order, no sizing, no invented data.",prompt_template_to_copy,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,READY_FOR_VALIDATION,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,
MIG-runtime_profile-62dfaf96ca3f,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,📘 PROMPT_LIBRARY,9,62dfaf96ca3ff476ca6a320fb1d4d13fbe2b3aea922c964430883d642809c394,RUNTIME_PROFILE,,,SIGNAL_ANALYSIS_REVIEW,GEM_SIGNAL_REVIEW,GEM_CURRENT_SIGNAL_REVIEW,RUNTIME_PROFILE,ACTIVE,READY_TO_TEST,False,"Runtime profile: GEM_SIGNAL_REVIEW. Return REVIEW_REQUIRED/BLOCKED when required data is missing. No order, no sizing, no invented data.",prompt_template_to_copy,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,READY_FOR_VALIDATION,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,
MIG-runtime_profile-275743d43e32,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,📘 PROMPT_LIBRARY,10,275743d43e3229358209fd21575e472060133555ced60a594f4de50e98f922ca,RUNTIME_PROFILE,,,RISK_PLAYBOOK_REVIEW,GEM_RISK_REVIEW,GEM_CURRENT_RISK_REVIEW,RUNTIME_PROFILE,ACTIVE,READY_TO_TEST,False,"Runtime profile: GEM_RISK_REVIEW. Return REVIEW_REQUIRED/BLOCKED when required data is missing. No order, no sizing, no invented data.",prompt_template_to_copy,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,READY_FOR_VALIDATION,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,
MIG-runtime_profile-6a5cc4bb5121,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,📘 PROMPT_LIBRARY,11,6a5cc4bb512189388e9adbfc8079bbf2c750cbd51902979fdaa347b20bb7a571,RUNTIME_PROFILE,,,QAIC_READONLY_BRIDGE_FUTURE,QAIC_BRIDGE_READONLY,QAIC_READONLY_OUTPUTS_FUTURE,RUNTIME_PROFILE,ACTIVE,READY_TO_TEST,False,"Runtime profile: QAIC_BRIDGE_READONLY. Return REVIEW_REQUIRED/BLOCKED when required data is missing. No order, no sizing, no invented data.",prompt_template_to_copy,NORMALIZE_AND_PREPARE_VALIDATED_UPSERT,REQUIRED,READY_FOR_VALIDATION,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,
MIG-prompt_01_portfolio_analysis-27d9abf63e93,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,📘 PROMPT_LIBRARY,12,27d9abf63e935285859e5560b075435ba13c9c4591d2ec82c073d652c9025e17,prompt_01_portfolio_analysis,prompt_01_portfolio_analysis,,PORTFOLIO_ANALYSIS,GEM_PORTFOLIO_REVIEW,P1 Portfolio Runtime,PROMPT_CONTRACT,ULTIMATE_REFERENCE_LOCKED,LOCKED_REFERENCE,True,"# 🛠️ MVP QAIC — Prompt test Gem

## 1. Identité du test
- prompt_id: prompt_01_portfolio_analysis
- prompt_family: PORTFOLIO_ANALYSIS
- runtime_name: P1 Portfolio Runtime
- gem_profile: GEM_PORTFOLIO_REVIEW
- mode: HUMAN_REVIEW_ONLY

## 2. Mission
Analyser le portefeuille / positions / exposition / données Revolut X si disponibles, avec priorité risque, qualité des données et décision humaine NO_ACTION / REVIEW_REQUIRED / BLOCKED si les données sont insuffisantes.

## 3. Données fournies à analyser
Colle ici les données disponibles. Si une donnée obligatoire manque, tu dois le signaler dans missing_data et blocker la décision si nécessaire.

```text
asset_or_portfolio_context: [A COMPLETER]
timeframe: [A COMPLETER]
as_of_date: [A COMPLETER]
source/run_id/freshness: [A COMPLETER]
market_data: [A COMPLETER]
portfolio_data_if_relevant: [A COMPLETER]
trade_plan_inputs_if_relevant: [A COMPLETER]
```

## 4. Données obligatoires attendues
- required_sections: portfolio_snapshot,revolut_x_status,decision_matrix,data_quality
- required_data_requirements: data_portfolio_positions,data_portfolio_exposure,data_current_price
- required_signal_families: portfolio_risk,market_regime,liquidity
- required_decision_matrix_rules: dm_data_quality_low,dm_no_trade_daily_loss
- required_output_template: portfolio_summary_output
- required_qaic_mappings: qoc_asset,qoc_risk_score,qoc_decision,qoc_data_quality,qoc_run_id

## 5. Règles non négociables
- HUMAN_REVIEW_ONLY.
- NO_AUTO_ORDER, NO_AUTO_SIZING, NO_BROKER_EXECUTION, NO_REAL_ORDER.
- N’invente aucun prix, PRU, quantité, PnL, exposition, TP, SL, score, signal_id ou score_id.
- Si les données sont insuffisantes, réponds REVIEW_REQUIRED ou BLOCKED avec missing_data et blockers.
- Risk guards spécifiques: no order,no sizing,no invented PRU/PnL

## 6. Format de réponse obligatoire
| champ | valeur |
|---|---|
| analysis_level | |
| decision_status | |
| human_final_decision | |
| validation_status | |
| signal_id | |
| score_id | |
| risk_guard | |
| missing_data | |
| blockers | |
| confidence_score | |
| quality_score | |

## 7. Décision finale
Termine par une décision humaine auditée uniquement. Aucun ordre, aucune taille, aucune exécution.",prompt_template_to_copy,PRESERVE_LOCKED_REFERENCE_AND_CREATE_VALIDATED_VARIANT,REQUIRED,READY_FOR_VALIDATION,📘 PROMPT_LIBRARY,CREATE_VARIANT_ROW_DO_NOT_OVERWRITE_REFERENCE,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,
MIG-prompt_02_market_analysis-110c65610346,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,📘 PROMPT_LIBRARY,13,110c65610346300d3fc6b408f8db9cbddff2bd4a3061dfd6f0b73b1de49c8c4b,prompt_02_market_analysis,prompt_02_market_analysis,,MARKET_ANALYSIS,GEM_MARKET_REVIEW,P2 Market Runtime,PROMPT_CONTRACT,ULTIMATE_REFERENCE_LOCKED,LOCKED_REFERENCE,True,"# 🛠️ MVP QAIC — Prompt test Gem

## 1. Identité du test
- prompt_id: prompt_02_market_analysis
- prompt_family: MARKET_ANALYSIS
- runtime_name: P2 Market Runtime
- gem_profile: GEM_MARKET_REVIEW
- mode: HUMAN_REVIEW_ONLY

## 2. Mission
Analyser le contexte marché crypto, régime BTC/ETH, momentum et liquidité. Ne pas produire de niveaux de trade inventés.

## 3. Données fournies à analyser
Colle ici les données disponibles. Si une donnée obligatoire manque, tu dois le signaler dans missing_data et blocker la décision si nécessaire.

```text
asset_or_portfolio_context: [A COMPLETER]
timeframe: [A COMPLETER]
as_of_date: [A COMPLETER]
source/run_id/freshness: [A COMPLETER]
market_data: [A COMPLETER]
portfolio_data_if_relevant: [A COMPLETER]
trade_plan_inputs_if_relevant: [A COMPLETER]
```

## 4. Données obligatoires attendues
- required_sections: market_context,data_requirements,decision_matrix
- required_data_requirements: data_btc_regime,data_eth_regime,data_volume,data_news_calendar
- required_signal_families: market_regime,momentum,liquidity
- required_decision_matrix_rules: dm_btc_risk_off_alt,dm_data_quality_low
- required_output_template: market_regime_output
- required_qaic_mappings: qoc_risk_score,qoc_decision,qoc_data_quality

## 5. Règles non négociables
- HUMAN_REVIEW_ONLY.
- NO_AUTO_ORDER, NO_AUTO_SIZING, NO_BROKER_EXECUTION, NO_REAL_ORDER.
- N’invente aucun prix, PRU, quantité, PnL, exposition, TP, SL, score, signal_id ou score_id.
- Si les données sont insuffisantes, réponds REVIEW_REQUIRED ou BLOCKED avec missing_data et blockers.
- Risk guards spécifiques: no invented levels

## 6. Format de réponse obligatoire
| champ | valeur |
|---|---|
| analysis_level | |
| decision_status | |
| human_final_decision | |
| validation_status | |
| signal_id | |
| score_id | |
| risk_guard | |
| missing_data | |
| blockers | |
| confidence_score | |
| quality_score | |

## 7. Décision finale
Termine par une décision humaine auditée uniquement. Aucun ordre, aucune taille, aucune exécution.",prompt_template_to_copy,PRESERVE_LOCKED_REFERENCE_AND_CREATE_VALIDATED_VARIANT,REQUIRED,READY_FOR_VALIDATION,📘 PROMPT_LIBRARY,CREATE_VARIANT_ROW_DO_NOT_OVERWRITE_REFERENCE,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,
MIG-prompt_03_buy_analysis_multi_horizon-312509fe100e,19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0,📘 PROMPT_LIBRARY,14,312509fe100e7ba73e639c54f29413237d4dc960bbe6046743dc74b8e37922c0,prompt_03_buy_analysis_multi_horizon,prompt_03_buy_analysis_multi_horizon,,BUY_ANALYSIS_MULTI_HORIZON,GEM_BUY_REVIEW,P3 Buy Runtime,PROMPT_CONTRACT,ULTIMATE_REFERENCE_LOCKED,LOCKED_REFERENCE,True,"# 🛠️ MVP QAIC — Prompt test Gem

## 1. Identité du test
- prompt_id: prompt_03_buy_analysis_multi_horizon
- prompt_family: BUY_ANALYSIS_MULTI_HORIZON
- runtime_name: P3 Buy Runtime
- gem_profile: GEM_BUY_REVIEW
- mode: HUMAN_REVIEW_ONLY

## 2. Mission
Analyser une opportunité d’achat multi-horizon avec entrée/TP/SL uniquement si les données nécessaires sont fournies. Sinon bloquer ou demander revue.

## 3. Données fournies à analyser
Colle ici les données disponibles. Si une donnée obligatoire manque, tu dois le signaler dans missing_data et blocker la décision si nécessaire.

```text
asset_or_portfolio_context: [A COMPLETER]
timeframe: [A COMPLETER]
as_of_date: [A COMPLETER]
source/run_id/freshness: [A COMPLETER]
market_data: [A COMPLETER]
portfolio_data_if_relevant: [A COMPLETER]
trade_plan_inputs_if_relevant: [A COMPLETER]
```

## 4. Données obligatoires attendues
- required_sections: trade_plan_inputs,signal_evaluation,decision_matrix,output_template
- required_data_requirements: data_current_price,data_entry_zone,data_support,data_resistance,data_stop_loss,data_tp1,data_tp2,data_btc_regime,data_volume
- required_signal_families: alpha,market_structure,momentum,risk,liquidity
- required_decision_matrix_rules: dm_missing_price,dm_missing_sl,dm_valid_trade_plan_review,dm_fomo_after_pump
- required_output_template: standard_trade_plan_output
- required_qaic_mappings: qoc_entry_zone,qoc_tp1,qoc_tp2,qoc_tp3,qoc_stop_loss,qoc_decision,qoc_explanation

## 5. Règles non négociables
- HUMAN_REVIEW_ONLY.
- NO_AUTO_ORDER, NO_AUTO_SIZING, NO_BROKER_EXECUTION, NO_REAL_ORDER.
- N’invente aucun prix, PRU, quantité, PnL, exposition, TP, SL, score, signal_id ou score_id.
- Si les données sont insuffisantes, réponds REVIEW_REQUIRED ou BLOCKED avec missing_data et blockers.
- Risk guards spécifiques: no TP/SL if missing data, no execution

## 6. Format de réponse obligatoire
| champ | valeur |
|---|---|
| analysis_level | |
| decision_status | |
| human_final_decision | |
| validation_status | |
| signal_id | |
| score_id | |
| risk_guard | |
| missing_data | |
| blockers | |
| confidence_score | |
| quality_score | |

## 7. Décision finale
Termine par une décision humaine auditée uniquement. Aucun ordre, aucune taille, aucune exécution.",prompt_template_to_copy,PRESERVE_LOCKED_REFERENCE_AND_CREATE_VALIDATED_VARIANT,REQUIRED,READY_FOR_VALIDATION,📘 PROMPT_LIBRARY,CREATE_VARIANT_ROW_DO_NOT_OVERWRITE_REFERENCE,PLANNED_ONLY_NO_WRITE_BEFORE_VALIDATION,REQUIRED,
