row_no,item,classification,action,source,destination,error,sha256_before,sha256_after,sha_match,live_match_count
20,v25_31_revolut_fiscal_ledger_builder.js,MOVE_TO_99_ARCHIVES_CANDIDATE,MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_31_revolut_fiscal_ledger_builder.js,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\Revolut X\v25_31_revolut_fiscal_ledger_builder.js,,a7f0e2f198f67311fc76ba1b925d848839837e0627b1429b50e7dc17bf637aef,a7f0e2f198f67311fc76ba1b925d848839837e0627b1429b50e7dc17bf637aef,TRUE,
21,v25_31_revolut_fiscal_ledger_builder.zip,MOVE_TO_99_ARCHIVES_CANDIDATE,MISSING_DURING_MOVE_OR_DRIVE_SYNC_RACE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\Revolut X\v25_31_revolut_fiscal_ledger_builder.zip,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\v25_31_revolut_fiscal_ledger_builder.zip,"FileNotFoundError(2, 'Le chemin d’accès spécifié est introuvable', None, 3, None)",,,,
25,synthese_lexique_mvp_crypto_project_context.md,MOVE_TO_99_ARCHIVES_CANDIDATE,MOVED,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source\synthese_lexique_mvp_crypto_project_context.md,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R20A5_SOURCE_ARCHIVE_ONLY_LIVE_SAFE_20260701_012037\MOVE_TO_99_ARCHIVES_CANDIDATE\synthese_lexique_mvp_crypto_project_context.md,,e9fd284e9db77f3baad82fd2a51484a1d2ff4d8187ff09f4333643ac52fdbf2e,e9fd284e9db77f3baad82fd2a51484a1d2ff4d8187ff09f4333643ac52fdbf2e,TRUE,
5,MVP QAIC — Mémo d’intégration Revolut X.pdf,HOLD_REVIEW,PROTECTED_NOT_TOUCHED,,,,,,,1
7,v25_17_portfolio_alpha_bridge.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
10,v25_20_portfolio_exposure_engine.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
11,v25_21_portfolio_risk_decision_engine.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
12,v25_22_portfolio_decision_control_center.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
13,v25_23_portfolio_execution_queue.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
14,v25_24_portfolio_pre_trade_guard.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
16,v25_26_manual_order_lifecycle_tracker.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
19,v25_30_revolut_x_readonly_connector.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
22,v25_35_portfolio_intelligence.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
23,v25_agent_control_core.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
24,📈 QAIC Crypto - V25 DEV.xlsx,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,PROTECTED_NOT_TOUCHED,,,,,,,1
