rank,rel_path,suffix,size_bytes,source_kind,score,keyword_hits,excerpt
11,mvp_qaic_py/gem_multimodal_response_capture_gate.py,.py,25075,CURRENT_RUNTIME_CONTRACT_REFERENCE,126,gem|portfolio|capture|image|revolut|json|human_review|human review|review_required|décision|no broker|no order|no sizing|P133,", ""NO_SHEET_WRITE"", ) REQUIRED_TOP_LEVEL_KEYS = ( ""status"", ""source_type"", ""reference_currency"", ""image_used"", ""copy_paste_text_used"", ""image_usage_evidence"", ""portfolio"", ""assets"", ""missing_data"", ""unclear_data"", ""human_review_required"", ""no_order_no_sizing"", ) REQUIRED_IMAGE_EVIDENCE_KEYS = ( ""status"", ""visual_evidence_summary"", ""visible_platform_or_context"", ""blockers"", ) REQUIRED_PORTFOLIO_KEYS = ( ""total_value_usd"", ""unrealized_pnl_usd"", ""unrealized_pnl_pct"", ""cash_usd_value"", ""cash_allocation_pct"", ) REQUIRED_ASSET_KEYS = ( ""symbol"", ""asset_name"", ""quantity"", ""price_usd"", ""value_usd"", ""allocation_pct"", ""unrealized_pnl_usd"", ""unrealized_pnl_pct"", ""confidence"", ""notes"", ) @dataclass(frozen=True) class GemMultimodalResponseGateRequest: response_text_path: Path output_dir: Path run_id: str = ""P133-GEM-MULTIMODAL-RESPONSE-CAPTURE-GATE"" generated_at_utc: str | None = None source_image_pa"
12,05_EXPORTS/P138A2_R2_SELF_CONTAINED_PATH_CHECK_FIX_20260622_234501/P138A_MIGRATION_PAYLOAD.json,.json,79807,CURRENT_RUNTIME_CONTRACT_REFERENCE,126,gem|portfolio|revolut|json|human_review|human review|review_required|risk|risque|decision|décision|no broker|no order|no sizing|P133,"status"", ""target_sheet"", ""target_row_strategy"", ""write_status"", ""human_review_status"", ""blockers"" ], ""migration_candidates"": [ { ""migration_id"": ""MIG-prompt_01_portfolio_analysis-fe293d100e8c"", ""source_spreadsheet_id"": ""19KY8Y1ozS7ONaJu9_5NQmjO47l-xM798Xm-y1n7fNd0"", ""source_tab"": ""GPT_PROMPT_RUNTIME_SPEC"", ""source_row"": 2, ""source_hash"": ""fe293d100e8c14fd942573a8bf46c52bf36ac6fbbb2c463543cf4eae265b0729"", ""prompt_id"": ""prompt_01_portfolio_analysis"", ""base_prompt_id"": null, ""parent_prompt_id"": null, ""prompt_family"": null, ""gem_id"": ""UNKNOWN_GEM"", ""prompt_profile"": null, ""record_type"": null, ""status"": null, ""validation_status"": ""VALIDATED"", ""is_reference_locked"": false, ""raw_prompt_text"": """", ""prompt_text_field_used"": null, ""python_simplification_action"": ""NORMALIZE_AND_PREPARE_VALIDATED_UPSERT"", ""p137_correction_status"": ""BLOCKED_NO_PROMPT_TEXT"", ""p133_compatibility_status"": ""BLOCKED"", ""ta"
13,mvp_qaic_py/p137_prompt_corrections_apply_queue.py,.py,17590,CURRENT_RUNTIME_CONTRACT_REFERENCE,124,gem|portfolio|capture|image|revolut|json|human_review|human review|review_required|risk|no broker|no order|no sizing|P132|P133|path_prompt_bonus,"not candidates: return None return max(candidates, key=lambda path: path.stat().st_mtime) def _fallback_prompt(gem_id: str) -> str: return f""""""# MVP QAIC — GEM Portfolio Prompt Base Gem cible: {gem_id} Prompt source non trouvé automatiquement. Utiliser ce fichier comme base temporaire, puis remplacer par le dernier prompt P132/P134 validé. Objectif: analyser une capture Revolut X / portefeuille crypto en mode éducatif, analytique, human review only. Sécurité: - no broker - no order - no sizing - no auto apply """""" def load_source_prompt(request: P137Request) -> tuple[str, Path | None]: selected = request.prompt_file or _find_latest_prompt(request.exports_dir) if selected and selected.exists(): return _read_text(selected), selected return _fallback_prompt(request.gem_id), None def build_prompt_corrections_queue(gem_profile: dict[str, Any]) -> list[dict[str, Any]]: gem_id = gem_profile[""gem"
14,mvp_qaic_py/gem_prompt_runner_pack.py,.py,16404,PROMPT_RELATED_SOURCE_CANDIDATE,124,gem|portfolio|capture|image|revolut|json|human_review|review_required|risk|decision|path_prompt_bonus,"t[str] = [] review_questions: list[str] = [] if mode not in INPUT_MODES: missing_data.append(""valid_input_mode"") review_questions.append(""Confirm the portfolio input mode."") if mode == ""NONE"": missing_data.extend([""portfolio_positions"", ""portfolio_values""]) review_questions.append( ""Provide portfolio positions as pasted text, structured JSON, or image reference."" ) elif mode == ""IMAGE_REVIEW_REQUIRED"": missing_data.extend( [ ""human_confirmed_asset_symbols"", ""human_confirmed_quantities"", ""human_confirmed_values"", ""human_confirmed_visible_prices_if_any"", ] ) review_questions.extend( [ ""Confirm every visible asset symbol."", ""Confirm every visible quantity."", ""Confirm every visible value."", ""Confirm that no hidden line is being assumed."", ] ) elif mode in {""PASTED_TEXT"", ""PASTED_TEXT_DRAFT""}: if not pasted_text or not pasted_text.strip(): missing_data.append(""pasted_portfolio_text"") review_q"
15,05_EXPORTS/P118_GEM_DAILY_OPERATOR_SHORTCUT_20260622_133524/P118_RUNTIME_PACK/P116_GEM_PROMPT_COPY_PASTE.md,.md,3748,EXPORT_ARCHIVE_REFERENCE,124,gem|portfolio|image|revolut|json|human_review|human review|review_required|risk|decision|path_prompt_bonus,"# MVP QAIC - GEM Portfolio Review Prompt ## Mission Review the portfolio input for educational and decision-support purposes only. Return a structured JSON answer matching the expected schema. ## Hard safety rules - HUMAN_REVIEW_ONLY. - Do not place, suggest placing, cancel, replace, or automate any order. - Do not calculate position sizing. - Do not claim OCR or automatic image extraction. - Do not invent assets, quantities, prices, values, TP, SL, or trailing levels. - If the input is incomplete or image-based, return REVIEW_REQUIRED with missing_data. ## Normalized portfolio input ```json { ""blockers"": [], ""human_review_required"": true, ""image_reference"": null, ""input_mode"": ""PASTED_TEXT_DRAFT"", ""integration"": { ""p113_normalizer"": ""fallback_used"", ""warnings"": [] }, ""missing_data"": [], ""no_ocr_claim"": true, ""no_visual_extraction_claim"": true, ""notes"": ""P118 daily operator shortcut. Hum"
16,05_EXPORTS/P117_GEM_PROMPT_RUNTIME_USABILITY_PACK_20260622_132830/P117_SAMPLE_RUNTIME_PACK_PASTED_TEXT/P116_RUNTIME_PAYLOAD.json,.json,15899,EXPORT_ARCHIVE_REFERENCE,124,gem|portfolio|image|revolut|json|human_review|human review|review_required|risk|decision|path_prompt_bonus,"t"": true, ""type"": ""boolean"" }, ""missing_data"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" }, ""no_order_no_sizing"": { ""const"": true, ""type"": ""boolean"" }, ""portfolio_review"": { ""type"": ""object"" }, ""questions_for_human"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" }, ""risk_notes"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" }, ""safety_markers"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" } }, ""required"": [ ""decision_status"", ""missing_data"", ""blockers"", ""human_decision_only"", ""no_order_no_sizing"", ""safety_markers"" ], ""title"": ""MVP QAIC P114 Expected GEM Portfolio Review Output"", ""type"": ""object"" }, ""gem_prompt_markdown"": ""# MVP QAIC - GEM Portfolio Review Prompt\n\n## Mission\nReview the portfolio input for educational and decision-support purposes only.\nReturn a structured JSON answer matching the expected schema.\n\n## Hard safety rules\n- HUMAN_REVIEW_ONLY.\n- Do not"
17,05_EXPORTS/P117_GEM_PROMPT_RUNTIME_USABILITY_PACK_20260622_132830/P117_SAMPLE_RUNTIME_PACK_PASTED_TEXT/P116_GEM_PROMPT_COPY_PASTE.md,.md,3696,EXPORT_ARCHIVE_REFERENCE,124,gem|portfolio|image|revolut|json|human_review|human review|review_required|risk|decision|path_prompt_bonus,"# MVP QAIC - GEM Portfolio Review Prompt ## Mission Review the portfolio input for educational and decision-support purposes only. Return a structured JSON answer matching the expected schema. ## Hard safety rules - HUMAN_REVIEW_ONLY. - Do not place, suggest placing, cancel, replace, or automate any order. - Do not calculate position sizing. - Do not claim OCR or automatic image extraction. - Do not invent assets, quantities, prices, values, TP, SL, or trailing levels. - If the input is incomplete or image-based, return REVIEW_REQUIRED with missing_data. ## Normalized portfolio input ```json { ""blockers"": [], ""human_review_required"": true, ""image_reference"": null, ""input_mode"": ""PASTED_TEXT_DRAFT"", ""integration"": { ""p113_normalizer"": ""fallback_used"", ""warnings"": [] }, ""missing_data"": [], ""no_ocr_claim"": true, ""no_visual_extraction_claim"": true, ""notes"": ""P117 sample runtime pack. Human r"
18,05_EXPORTS/P116_GEM_PROMPT_RUNTIME_MINI_CLI_20260622_132029/P116_RUNTIME_PAYLOAD.json,.json,15883,EXPORT_ARCHIVE_REFERENCE,124,gem|portfolio|image|revolut|json|human_review|human review|review_required|risk|decision|path_prompt_bonus,"t"": true, ""type"": ""boolean"" }, ""missing_data"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" }, ""no_order_no_sizing"": { ""const"": true, ""type"": ""boolean"" }, ""portfolio_review"": { ""type"": ""object"" }, ""questions_for_human"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" }, ""risk_notes"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" }, ""safety_markers"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" } }, ""required"": [ ""decision_status"", ""missing_data"", ""blockers"", ""human_decision_only"", ""no_order_no_sizing"", ""safety_markers"" ], ""title"": ""MVP QAIC P114 Expected GEM Portfolio Review Output"", ""type"": ""object"" }, ""gem_prompt_markdown"": ""# MVP QAIC - GEM Portfolio Review Prompt\n\n## Mission\nReview the portfolio input for educational and decision-support purposes only.\nReturn a structured JSON answer matching the expected schema.\n\n## Hard safety rules\n- HUMAN_REVIEW_ONLY.\n- Do not"
19,05_EXPORTS/P116_GEM_PROMPT_RUNTIME_MINI_CLI_20260622_132029/P116_GEM_PROMPT_COPY_PASTE.md,.md,3665,EXPORT_ARCHIVE_REFERENCE,124,gem|portfolio|image|revolut|json|human_review|human review|review_required|risk|decision|path_prompt_bonus,"# MVP QAIC - GEM Portfolio Review Prompt ## Mission Review the portfolio input for educational and decision-support purposes only. Return a structured JSON answer matching the expected schema. ## Hard safety rules - HUMAN_REVIEW_ONLY. - Do not place, suggest placing, cancel, replace, or automate any order. - Do not calculate position sizing. - Do not claim OCR or automatic image extraction. - Do not invent assets, quantities, prices, values, TP, SL, or trailing levels. - If the input is incomplete or image-based, return REVIEW_REQUIRED with missing_data. ## Normalized portfolio input ```json { ""blockers"": [], ""human_review_required"": true, ""image_reference"": null, ""input_mode"": ""PASTED_TEXT_DRAFT"", ""integration"": { ""p113_normalizer"": ""fallback_used"", ""warnings"": [] }, ""missing_data"": [], ""no_ocr_claim"": true, ""no_visual_extraction_claim"": true, ""notes"": ""P116-R1 sample: pasted text is so"
20,05_EXPORTS/P114_GEM_PROMPT_RUNNER_PACK_COPY_PASTE_AND_JSON_CONTRACT_20260622_124512/P114_GEM_RUNNER_PAYLOAD_SAMPLE.json,.json,7901,EXPORT_ARCHIVE_REFERENCE,124,gem|portfolio|capture|image|revolut|json|human_review|review_required|risk|decision|path_prompt_bonus,"t"": true, ""type"": ""boolean"" }, ""missing_data"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" }, ""no_order_no_sizing"": { ""const"": true, ""type"": ""boolean"" }, ""portfolio_review"": { ""type"": ""object"" }, ""questions_for_human"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" }, ""risk_notes"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" }, ""safety_markers"": { ""items"": { ""type"": ""string"" }, ""type"": ""array"" } }, ""required"": [ ""decision_status"", ""missing_data"", ""blockers"", ""human_decision_only"", ""no_order_no_sizing"", ""safety_markers"" ], ""title"": ""MVP QAIC P114 Expected GEM Portfolio Review Output"", ""type"": ""object"" }, ""gem_prompt_markdown"": ""# MVP QAIC - GEM Portfolio Review Prompt\n\n## Mission\nReview the portfolio input for educational and decision-support purposes only.\nReturn a structured JSON answer matching the expected schema.\n\n## Hard safety rules\n- HUMAN_REVIEW_ONLY.\n- Do not"
21,05_EXPORTS/P114_GEM_PROMPT_RUNNER_PACK_COPY_PASTE_AND_JSON_CONTRACT_20260622_124512/P114_GEM_PROMPT_COPY_PASTE.md,.md,3433,EXPORT_ARCHIVE_REFERENCE,124,gem|portfolio|capture|image|revolut|json|human_review|review_required|risk|decision|path_prompt_bonus,"# MVP QAIC - GEM Portfolio Review Prompt ## Mission Review the portfolio input for educational and decision-support purposes only. Return a structured JSON answer matching the expected schema. ## Hard safety rules - HUMAN_REVIEW_ONLY. - Do not place, suggest placing, cancel, replace, or automate any order. - Do not calculate position sizing. - Do not claim OCR or automatic image extraction. - Do not invent assets, quantities, prices, values, TP, SL, or trailing levels. - If the input is incomplete or image-based, return REVIEW_REQUIRED with missing_data. ## Normalized portfolio input ```json { ""blockers"": [], ""human_review_required"": true, ""image_reference"": ""portfolio_capture_reference_for_human_review.png"", ""input_mode"": ""IMAGE_REVIEW_REQUIRED"", ""integration"": { ""p113_normalizer"": ""fallback_used"", ""warnings"": [] }, ""missing_data"": [ ""human_confirmed_asset_symbols"", ""human_confirmed_qua"
22,05_EXPORTS/P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413/P112_GEM_PORTFOLIO_PROMPT_PAYLOAD_SAMPLE.json,.json,2466,EXPORT_ARCHIVE_REFERENCE,124,gem|portfolio|capture|image|revolut|json|human_review|review_required|risk|decision|path_prompt_bonus,"{ ""prompt_id"": ""P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE"", ""created_at_utc"": ""2026-06-22T00:00:00Z"", ""user_goal"": ""Review my crypto portfolio from an uploaded capture and ask for missing confirmations before analysis."", ""portfolio_input_mode"": ""IMAGE_REVIEW_REQUIRED"", ""portfolio_input"": { ""portfolio_input_mode"": ""IMAGE_REVIEW_REQUIRED"", ""pasted_text"": """", ""structured_positions"": [], ""image_reference"": ""portfolio_capture_example.png"", ""missing_data"": [ ""portfolio_image_visual_extraction"" ], ""blockers"": [], ""review_notes"": [ ""Image/capture supplied: visual extraction must be reviewed by a human or external OCR tool."" ], ""ocr_performed"": false, ""human_review_required"": true }, ""market_context"": ""User may paste market context manually. Do not fetch private broker data."", ""risk_profile"": ""UNSPECIFIED"", ""missing_data"": [ ""portfolio_image_visual_extraction"", ""risk_profile"" ], ""blockers"": [], ""rev"
23,05_EXPORTS/P135_R2_NICEGUI_OPERATOR_POLISH_COMPAT_FIX_20260622_195252/P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,.json,8967,CURRENT_RUNTIME_CONTRACT_REFERENCE,123,gem|portfolio|capture|image|revolut|json|human_review|human review|review_required|hard rules|no broker|no order|no sizing|P132|P133|path_prompt_bonus,"M_RESPONSE_PRETTY.json"", ""prompt_exists"": true, ""p133_gate_exists"": true }, ""prompt_preview"": ""\n# P132 GEM Multimodal Portfolio Prompt — Revolut X / USD\n\n## Input mode\n\nYou will receive:\n1. One attached image/screenshot from Revolut X or a similar crypto portfolio interface.\n2. Optional copied text from the same interface.\n\nThe image is part of this main prompt. Do not ask for or create a separate preliminary step where you only read the image. Perform the portfolio extraction and review in this single response.\n\n## Langue de réponse\n\n- Réponds en français pour tous les textes rédigés, explications, résumés, commentaires et notes.\n- Conserve exactement les noms de champs JSON, les statuts techniques, les enums, les booléens et les marqueurs de sécurité définis dans le schéma.\n- Ne traduis pas les clés JSON.\n- Si la réponse est en JSON, les valeurs textuelles peuvent être"
