prompt_id,status,source_path,sha12,char_count,has_gem,has_portfolio,has_image,has_review_required,notes
p173_nicegui_private_local_runner.py,ACTIVE_RUNTIME,mvp_qaic_py\p173_nicegui_private_local_runner.py,69be208dc05c,29171,True,True,True,True,Auto-classified local prompt candidate; review-only.
P129_R1_IMAGE_TO_PROMPT_MANUAL_TRANSCRIPTION_BRIDGE_20260622_163027__P129_IMAGE_TO_PROMPT_BRIDGE_REPORT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P129_R1_IMAGE_TO_PROMPT_MANUAL_TRANSCRIPTION_BRIDGE_20260622_163027\P129_IMAGE_TO_PROMPT_BRIDGE_REPORT.md,41641263a49e,833,False,True,True,False,Auto-classified local prompt candidate; review-only.
P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525__P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525\P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md,d1d21d6a5351,6010,True,True,True,True,Auto-classified local prompt candidate; review-only.
P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525__P132_REFERENCE_PROMPTS_CORRECTION_PLAN.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P132_MULTIMODAL_GEM_IMAGE_PROMPT_USD_CONTRACT_20260622_171525\P132_REFERENCE_PROMPTS_CORRECTION_PLAN.md,fc7d2e897f44,1166,True,False,True,False,Auto-classified local prompt candidate; review-only.
P132_R1_FRENCH_RESPONSE_JSON_STABLE_20260622_175827__P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P132_R1_FRENCH_RESPONSE_JSON_STABLE_20260622_175827\P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md,f013c3b7252e,6617,True,True,True,True,Auto-classified local prompt candidate; review-only.
P132_R1_FRENCH_RESPONSE_JSON_STABLE_20260622_175827__P132_REFERENCE_PROMPTS_CORRECTION_PLAN.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P132_R1_FRENCH_RESPONSE_JSON_STABLE_20260622_175827\P132_REFERENCE_PROMPTS_CORRECTION_PLAN.md,fc7d2e897f44,1166,True,False,True,False,Auto-classified local prompt candidate; review-only.
P132_R2_PRETTY_JSON_PROMPT_SYNC_20260622_184031__P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P132_R2_PRETTY_JSON_PROMPT_SYNC_20260622_184031\P132_GEM_MULTIMODAL_PORTFOLIO_PROMPT.md,f5e4aa389065,7825,True,True,True,True,Auto-classified local prompt candidate; review-only.
P132_R2_PRETTY_JSON_PROMPT_SYNC_20260622_184031__P132_REFERENCE_PROMPTS_CORRECTION_PLAN.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P132_R2_PRETTY_JSON_PROMPT_SYNC_20260622_184031\P132_REFERENCE_PROMPTS_CORRECTION_PLAN.md,fc7d2e897f44,1166,True,False,True,False,Auto-classified local prompt candidate; review-only.
P134A_NICEGUI_ROOT_PAGE_LAUNCH_FIX_20260622_193558__P134_LATEST_P132_PROMPT_COPY.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P134A_NICEGUI_ROOT_PAGE_LAUNCH_FIX_20260622_193558\P134_LATEST_P132_PROMPT_COPY.md,497e0ecd2dd8,5000,True,True,True,True,Auto-classified local prompt candidate; review-only.
P134A_NICEGUI_ROOT_PAGE_LAUNCH_FIX_20260622_193558__P134_NICEGUI_PROMPT_COCKPIT_RUNBOOK.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P134A_NICEGUI_ROOT_PAGE_LAUNCH_FIX_20260622_193558\P134_NICEGUI_PROMPT_COCKPIT_RUNBOOK.md,405946053204,2030,True,True,True,False,Auto-classified local prompt candidate; review-only.
P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757__P134_LATEST_P132_PROMPT_COPY.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757\P134_LATEST_P132_PROMPT_COPY.md,497e0ecd2dd8,5000,True,True,True,True,Auto-classified local prompt candidate; review-only.
P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757__P134_NICEGUI_PROMPT_COCKPIT_RUNBOOK.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757\P134_NICEGUI_PROMPT_COCKPIT_RUNBOOK.md,405946053204,2030,True,True,True,False,Auto-classified local prompt candidate; review-only.
P135B_R3_NICEGUI_UI_RENDER_POLISH_MARKER_FIX_20260622_202343__P134_LATEST_P132_PROMPT_COPY.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P135B_R3_NICEGUI_UI_RENDER_POLISH_MARKER_FIX_20260622_202343\P134_LATEST_P132_PROMPT_COPY.md,497e0ecd2dd8,5000,True,True,True,True,Auto-classified local prompt candidate; review-only.
P135B_R3_NICEGUI_UI_RENDER_POLISH_MARKER_FIX_20260622_202343__P134_NICEGUI_PROMPT_COCKPIT_RUNBOOK.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P135B_R3_NICEGUI_UI_RENDER_POLISH_MARKER_FIX_20260622_202343\P134_NICEGUI_PROMPT_COCKPIT_RUNBOOK.md,405946053204,2030,True,True,True,False,Auto-classified local prompt candidate; review-only.
P135_R2_NICEGUI_OPERATOR_POLISH_COMPAT_FIX_20260622_195252__P134_LATEST_P132_PROMPT_COPY.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P135_R2_NICEGUI_OPERATOR_POLISH_COMPAT_FIX_20260622_195252\P134_LATEST_P132_PROMPT_COPY.md,497e0ecd2dd8,5000,True,True,True,True,Auto-classified local prompt candidate; review-only.
P135_R2_NICEGUI_OPERATOR_POLISH_COMPAT_FIX_20260622_195252__P134_NICEGUI_PROMPT_COCKPIT_RUNBOOK.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P135_R2_NICEGUI_OPERATOR_POLISH_COMPAT_FIX_20260622_195252\P134_NICEGUI_PROMPT_COCKPIT_RUNBOOK.md,405946053204,2030,True,True,True,False,Auto-classified local prompt candidate; review-only.
P136C_R1_TEST_IMPORT_FIX_20260622_211016__P136_PROMPT_CORRECTIONS_QUEUE.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P136C_R1_TEST_IMPORT_FIX_20260622_211016\P136_PROMPT_CORRECTIONS_QUEUE.md,2bb9a8985e24,1233,True,False,True,False,Auto-classified local prompt candidate; review-only.
P136_R1_STITCH_UI_LOGIC_FIX_20260622_204216__P136_PROMPT_CORRECTIONS_QUEUE.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P136_R1_STITCH_UI_LOGIC_FIX_20260622_204216\P136_PROMPT_CORRECTIONS_QUEUE.md,99cb1ab14964,1005,True,False,True,False,Auto-classified local prompt candidate; review-only.
P137_R1_RUFF_IMPORT_FIX_20260622_214321__P137_CORRECTED_GEM_PROMPT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P137_R1_RUFF_IMPORT_FIX_20260622_214321\P137_CORRECTED_GEM_PROMPT.md,99e5efab46ca,4287,True,True,True,True,Auto-classified local prompt candidate; review-only.
P137_R1_RUFF_IMPORT_FIX_20260622_214321__P137_PROMPT_CORRECTIONS_QUEUE.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P137_R1_RUFF_IMPORT_FIX_20260622_214321\P137_PROMPT_CORRECTIONS_QUEUE.md,546ff420ae67,1790,True,False,True,True,Auto-classified local prompt candidate; review-only.
P137_R1_RUFF_IMPORT_FIX_20260622_214321__P137_SOURCE_PROMPT_COPY.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P137_R1_RUFF_IMPORT_FIX_20260622_214321\P137_SOURCE_PROMPT_COPY.md,2bb9a8985e24,1233,True,False,True,False,Auto-classified local prompt candidate; review-only.
P144_PROMPT_COCKPIT_WORKFLOWS_20260623_124209__P144_PROMPT_COCKPIT_WORKFLOWS.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P144_PROMPT_COCKPIT_WORKFLOWS_20260623_124209\P144_PROMPT_COCKPIT_WORKFLOWS.md,6ee396de9239,486,True,False,False,False,Auto-classified local prompt candidate; review-only.
P152A_PROMPT_SOURCE_BINDING_FOR_REAL_GEM_20260623_140542__P152A_PROMPT_SOURCE_BINDING_FOR_REAL_GEM.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P152A_PROMPT_SOURCE_BINDING_FOR_REAL_GEM_20260623_140542\P152A_PROMPT_SOURCE_BINDING_FOR_REAL_GEM.md,250e897d1240,696,True,True,False,False,Auto-classified local prompt candidate; review-only.
P153_CORRECTION_LOOP_REAL_CASE_20260623_143503__P153_PROMPT_IMPROVEMENT_SUGGESTIONS.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P153_CORRECTION_LOOP_REAL_CASE_20260623_143503\P153_PROMPT_IMPROVEMENT_SUGGESTIONS.md,de97ffb46c08,540,True,True,True,True,Auto-classified local prompt candidate; review-only.
P156_PROMPT_PATCH_CANDIDATE_OR_STOP_AFTER_HUMAN_REVIEW_20260623_160539__P156_PROMPT_PATCH_CANDIDATE.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P156_PROMPT_PATCH_CANDIDATE_OR_STOP_AFTER_HUMAN_REVIEW_20260623_160539\P156_PROMPT_PATCH_CANDIDATE.md,f9a626447ed1,409,False,False,False,False,Auto-classified local prompt candidate; review-only.
P157_PROMPT_PATCH_CANDIDATE_REVIEW_OR_APPLY_GATE_20260623_141418__P157_PROMPT_PATCH_CANDIDATE_READBACK.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P157_PROMPT_PATCH_CANDIDATE_REVIEW_OR_APPLY_GATE_20260623_141418\P157_PROMPT_PATCH_CANDIDATE_READBACK.md,f9a626447ed1,409,False,False,False,False,Auto-classified local prompt candidate; review-only.
P158_MANUAL_PROMPT_PATCH_APPLY_OR_STOP_20260623_141833__P158_PROMPT_PATCH_CANDIDATE_READBACK.md,REFERENCE_AUDIT,05_EXPORTS\P158_MANUAL_PROMPT_PATCH_APPLY_OR_STOP_20260623_141833\P158_PROMPT_PATCH_CANDIDATE_READBACK.md,f9a626447ed1,409,False,False,False,False,Auto-classified local prompt candidate; review-only.
P164_HISTORICAL_PROMPT_AUDIT_REFERENCE_REBUILD_20260623_165825__P164_HISTORICAL_PROMPT_AUDIT_REPORT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P164_HISTORICAL_PROMPT_AUDIT_REFERENCE_REBUILD_20260623_165825\P164_HISTORICAL_PROMPT_AUDIT_REPORT.md,bc1ed40ce36c,18433,True,True,True,True,Auto-classified local prompt candidate; review-only.
P164_HISTORICAL_PROMPT_AUDIT_REFERENCE_REBUILD_20260623_165825__P164_REFERENCE_PROMPT_CANDIDATE_V1.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P164_HISTORICAL_PROMPT_AUDIT_REFERENCE_REBUILD_20260623_165825\P164_REFERENCE_PROMPT_CANDIDATE_V1.md,8aa55b3ba447,2623,True,True,True,True,Auto-classified local prompt candidate; review-only.
P166_REFERENCE_PROMPT_REBUILD_FROM_SOURCE_INDEX_20260623_174903__P166_OPERATOR_QUICK_USE_PROMPT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P166_REFERENCE_PROMPT_REBUILD_FROM_SOURCE_INDEX_20260623_174903\P166_OPERATOR_QUICK_USE_PROMPT.md,ef427d872cee,547,False,True,True,True,Auto-classified local prompt candidate; review-only.
P166_REFERENCE_PROMPT_REBUILD_FROM_SOURCE_INDEX_20260623_174903__P166_REFERENCE_PROMPT_DRAFT_V1.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P166_REFERENCE_PROMPT_REBUILD_FROM_SOURCE_INDEX_20260623_174903\P166_REFERENCE_PROMPT_DRAFT_V1.md,26fd90f5fbff,4730,False,True,True,True,Auto-classified local prompt candidate; review-only.
P176_NICEGUI_REVIEW_ONLY_ACTIONS_PROMPT_WORKFLOW_20260624_090430__P176_REVIEW_ONLY_PROMPT_WORKFLOW_REPORT.md,REFERENCE_AUDIT,05_EXPORTS\P176_NICEGUI_REVIEW_ONLY_ACTIONS_PROMPT_WORKFLOW_20260624_090430\P176_REVIEW_ONLY_PROMPT_WORKFLOW_REPORT.md,4b53d1f48d96,715,True,True,False,False,Auto-classified local prompt candidate; review-only.
P177_GEM_PORTFOLIO_PROMPT_WORKFLOW_USABLE_SMOKE_20260624_090757__P177_GEM_PORTFOLIO_PROMPT_SMOKE_REPORT.md,REFERENCE_AUDIT,05_EXPORTS\P177_GEM_PORTFOLIO_PROMPT_WORKFLOW_USABLE_SMOKE_20260624_090757\P177_GEM_PORTFOLIO_PROMPT_SMOKE_REPORT.md,33397b71adec,773,True,True,True,False,Auto-classified local prompt candidate; review-only.
P177_GEM_PORTFOLIO_PROMPT_WORKFLOW_USABLE_SMOKE_20260624_090757__P177_OPERATOR_PROMPT_SMOKE_TEXT.md,REFERENCE_AUDIT,05_EXPORTS\P177_GEM_PORTFOLIO_PROMPT_WORKFLOW_USABLE_SMOKE_20260624_090757\P177_OPERATOR_PROMPT_SMOKE_TEXT.md,2583ce67a5ef,529,True,True,True,True,Auto-classified local prompt candidate; review-only.
P150B_LOCAL_PRIVATE_RELEASE_PACK_20260623_132954__release_evidence__P144_PROMPT_COCKPIT_WORKFLOWS__P144_PROMPT_COCKPIT_WORKFLOWS.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P150B_LOCAL_PRIVATE_RELEASE_PACK_20260623_132954\release_evidence\P144_PROMPT_COCKPIT_WORKFLOWS\P144_PROMPT_COCKPIT_WORKFLOWS.md,6ee396de9239,486,True,False,False,False,Auto-classified local prompt candidate; review-only.
P130_OPERATOR_E2E_IMAGE_PROMPT_LOOP_20260622_164559__P130_P129_BRIDGE__P129_IMAGE_TO_PROMPT_BRIDGE_REPORT.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P130_OPERATOR_E2E_IMAGE_PROMPT_LOOP_20260622_164559\P130_P129_BRIDGE\P129_IMAGE_TO_PROMPT_BRIDGE_REPORT.md,41641263a49e,833,False,True,True,False,Auto-classified local prompt candidate; review-only.
P121_DAILY_GEM_LOOP_E2E_LOCAL_SMOKE_20260622_144950__P121_STEP_P118_DAILY_SHORTCUT__P118_RUNTIME_PACK__P116_GEM_PROMPT_COPY_PASTE.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P121_DAILY_GEM_LOOP_E2E_LOCAL_SMOKE_20260622_144950\P121_STEP_P118_DAILY_SHORTCUT\P118_RUNTIME_PACK\P116_GEM_PROMPT_COPY_PASTE.md,6dd71f64c641,3669,True,True,True,True,Auto-classified local prompt candidate; review-only.
P118_GEM_DAILY_OPERATOR_SHORTCUT_20260622_133524__P118_RUNTIME_PACK__P116_GEM_PROMPT_COPY_PASTE.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P118_GEM_DAILY_OPERATOR_SHORTCUT_20260622_133524\P118_RUNTIME_PACK\P116_GEM_PROMPT_COPY_PASTE.md,f7534183c39a,3598,True,True,True,True,Auto-classified local prompt candidate; review-only.
P117_GEM_PROMPT_RUNTIME_USABILITY_PACK_20260622_132830__P117_SAMPLE_RUNTIME_PACK_PASTED_TEXT__P116_GEM_PROMPT_COPY_PASTE.md,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P117_GEM_PROMPT_RUNTIME_USABILITY_PACK_20260622_132830\P117_SAMPLE_RUNTIME_PACK_PASTED_TEXT\P116_GEM_PROMPT_COPY_PASTE.md,7c63aa8082ca,3546,True,True,True,True,Auto-classified local prompt candidate; review-only.
P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_20260622_101245__P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_CONTRACT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_20260622_101245\P103_MVP_PROMPT_WEBAPP_BENCHMARK_PUBLIC_CONTRACT.json,ad1faf88e77b,1439,False,True,True,False,Auto-classified local prompt candidate; review-only.
P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_20260622_102228__P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_CONTRACT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_20260622_102228\P104_WEBAPP_UI_PROMPT_BENCHMARK_DATA_PACK_CONTRACT.json,1e9432996219,2031,False,True,True,False,Auto-classified local prompt candidate; review-only.
P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_20260622_103204__P105_LEXIQUE_METHOD_PROMPT_CONTEXT_SAMPLE.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_20260622_103204\P105_LEXIQUE_METHOD_PROMPT_CONTEXT_SAMPLE.json,3c5553b20cac,1907,False,True,False,False,Auto-classified local prompt candidate; review-only.
P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_20260622_103204__P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_CONTRACT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_20260622_103204\P105_LEXIQUE_METHOD_PROMPT_CONTEXT_WEBAPP_CONTRACT.json,5902836ac0e9,1300,False,True,False,False,Auto-classified local prompt candidate; review-only.
P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413__P112_GEM_PORTFOLIO_PROMPT_MODULE_CONTRACT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413\P112_GEM_PORTFOLIO_PROMPT_MODULE_CONTRACT.json,9c38e870f6c2,1343,True,True,True,True,Auto-classified local prompt candidate; review-only.
P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413__P112_GEM_PORTFOLIO_PROMPT_PAYLOAD_SAMPLE.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413\P112_GEM_PORTFOLIO_PROMPT_PAYLOAD_SAMPLE.json,afa2cb6d35d0,2399,True,True,True,True,Auto-classified local prompt candidate; review-only.
P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413__P112_GEM_PORTFOLIO_PROMPT_SUMMARY.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P112_GEM_PORTFOLIO_PROMPT_USUAL_MODULE_20260622_120413\P112_GEM_PORTFOLIO_PROMPT_SUMMARY.json,59a5b7288177,291,True,True,True,True,Auto-classified local prompt candidate; review-only.
P134A_NICEGUI_ROOT_PAGE_LAUNCH_FIX_20260622_193558__P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P134A_NICEGUI_ROOT_PAGE_LAUNCH_FIX_20260622_193558\P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,a5390e705aa4,8599,True,True,True,True,Auto-classified local prompt candidate; review-only.
P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757__P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757\P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,5d4fff40e841,8561,True,True,True,True,Auto-classified local prompt candidate; review-only.
P135B_R3_NICEGUI_UI_RENDER_POLISH_MARKER_FIX_20260622_202343__P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P135B_R3_NICEGUI_UI_RENDER_POLISH_MARKER_FIX_20260622_202343\P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,30a628c24615,8844,True,True,True,True,Auto-classified local prompt candidate; review-only.
P135_R2_NICEGUI_OPERATOR_POLISH_COMPAT_FIX_20260622_195252__P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P135_R2_NICEGUI_OPERATOR_POLISH_COMPAT_FIX_20260622_195252\P134_NICEGUI_PROMPT_COCKPIT_CONTRACT.json,b36dfb1d4fe7,8808,True,True,True,True,Auto-classified local prompt candidate; review-only.
P137_R1_RUFF_IMPORT_FIX_20260622_214321__P137_PROMPT_CORRECTIONS_APPLY_PAYLOAD.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P137_R1_RUFF_IMPORT_FIX_20260622_214321\P137_PROMPT_CORRECTIONS_APPLY_PAYLOAD.json,492d9aa38178,7021,True,True,True,True,Auto-classified local prompt candidate; review-only.
P137_R1_RUFF_IMPORT_FIX_20260622_214321__P137_PROMPT_CORRECTIONS_QUEUE.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P137_R1_RUFF_IMPORT_FIX_20260622_214321\P137_PROMPT_CORRECTIONS_QUEUE.json,55f6e1bbd144,2404,True,False,True,True,Auto-classified local prompt candidate; review-only.
P144_PROMPT_COCKPIT_WORKFLOWS_20260623_124209__P144_PROMPT_WORKFLOW_MODEL.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P144_PROMPT_COCKPIT_WORKFLOWS_20260623_124209\P144_PROMPT_WORKFLOW_MODEL.json,49971ef22b12,8814,True,False,False,True,Auto-classified local prompt candidate; review-only.
P152A_PROMPT_SOURCE_BINDING_FOR_REAL_GEM_20260623_140542__P152A_PROMPT_SOURCE_BINDING.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P152A_PROMPT_SOURCE_BINDING_FOR_REAL_GEM_20260623_140542\P152A_PROMPT_SOURCE_BINDING.json,9d639af57e74,12145,True,True,True,True,Auto-classified local prompt candidate; review-only.
P154_PROMPT_CORRECTION_APPLY_PLAN_OR_STOP_20260623_144922__P154_PROMPT_CORRECTION_APPLY_PLAN_REPORT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P154_PROMPT_CORRECTION_APPLY_PLAN_OR_STOP_20260623_144922\P154_PROMPT_CORRECTION_APPLY_PLAN_REPORT.json,bbc3b3d86c54,5017,True,True,True,True,Auto-classified local prompt candidate; review-only.
P156_PROMPT_PATCH_CANDIDATE_OR_STOP_AFTER_HUMAN_REVIEW_20260623_155058__P156_PROMPT_PATCH_CANDIDATE_OR_STOP_REPORT.json,HISTORICAL_REFERENCE_ONLY,05_EXPORTS\P156_PROMPT_PATCH_CANDIDATE_OR_STOP_AFTER_HUMAN_REVIEW_20260623_155058\P156_PROMPT_PATCH_CANDIDATE_OR_STOP_REPORT.json,83d233890ca3,2864,True,True,False,True,Auto-classified local prompt candidate; review-only.
