migration_id,prompt_id,source_tab,source_row,source_hash,gem_id,record_type,target_sheet,target_row_strategy,p138b_decision,p138b_write_action,p138b_write_ready,p138c_allowed_after_go,protect_locked_reference,duplicate_prompt_id_count,duplicate_source_hash_count,blockers,review_notes
MIG-qaic_output_contract_row_7-5d2a4e9bc640,qaic_output_contract_row_7,QAIC_OUTPUT_CONTRACT,7,5d2a4e9bc640e635661dfb0a5abf1d163376f442e9a45d57b39ce3c1797f6619,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_8-9f2e7266852b,qaic_output_contract_row_8,QAIC_OUTPUT_CONTRACT,8,9f2e7266852b4c22e8407e98c949929e9b7e54acd90cc2ace976f59d83e44221,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_9-1c5e9ea1cd01,qaic_output_contract_row_9,QAIC_OUTPUT_CONTRACT,9,1c5e9ea1cd01dfa272dbb51e8c2a26ae71128e2677ce814203a2aa7828a39042,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_10-c5700fa7e3a0,qaic_output_contract_row_10,QAIC_OUTPUT_CONTRACT,10,c5700fa7e3a094f7dd14ef9ecedeb3e7b96c75343ffd072e162b57e5ef8c695c,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_11-cc4b3468fbfa,qaic_output_contract_row_11,QAIC_OUTPUT_CONTRACT,11,cc4b3468fbfaf1198f5c3fe3cbe5a36544b61d6854dce93f2f900d23bdb93753,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_12-472193e5e547,qaic_output_contract_row_12,QAIC_OUTPUT_CONTRACT,12,472193e5e5477ad487dd6c0813b330b2a8b3e1b74a6efd5ad01435375d8061b4,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_13-a2ab50ea813e,qaic_output_contract_row_13,QAIC_OUTPUT_CONTRACT,13,a2ab50ea813ec4971e752cf93650b5395448d33a65ddda09d2321b022fd685d1,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_14-829dfc4694b9,qaic_output_contract_row_14,QAIC_OUTPUT_CONTRACT,14,829dfc4694b92bdf35afe58f2c11d57a51eaac0c5f3840a8273ae9eaf93d3dba,UNKNOWN_GEM,,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,BLOCKED_REVIEW,NO_WRITE_BLOCKED,False,False,False,1,1,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-all_prompts-d8de7c02e47a,ALL_PROMPTS,📘 PROMPT_LIBRARY,6,d8de7c02e47a895a0e3157be2fa0faa0bf22f20169839d0e5345ab9bc0bf6b79,Non renseigné,CORE_CONTRACT,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,READY_FOR_CANONICAL_WRITE_REVIEW,UPSERT_BY_PROMPT_ID_AFTER_GO,True,True,False,1,1,,
MIG-all_scoring_prompts-7a5e7cd9df31,ALL_SCORING_PROMPTS,📘 PROMPT_LIBRARY,7,7a5e7cd9df3164c9ae5e1cf20250786f4b6dafcd1692794f44dd42f2cd7d120b,ALL_GEMS_AND_QAIC_BRIDGE,CORE_CONTRACT,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,READY_FOR_CANONICAL_WRITE_REVIEW,UPSERT_BY_PROMPT_ID_AFTER_GO,True,True,False,1,1,,
MIG-runtime_profile-06dc3a3006bd,RUNTIME_PROFILE,📘 PROMPT_LIBRARY,8,06dc3a3006bd41e3e661f6fde576d5541e27f276e2ad166cd503d451ba871594,GEM_LEXIQUE_EDUCATIONAL,RUNTIME_PROFILE,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,REVIEW_DUPLICATE_PROMPT_ID,NO_WRITE_UNTIL_DUPLICATE_DECISION,False,False,False,4,1,,duplicate_prompt_id_count=4
MIG-runtime_profile-62dfaf96ca3f,RUNTIME_PROFILE,📘 PROMPT_LIBRARY,9,62dfaf96ca3ff476ca6a320fb1d4d13fbe2b3aea922c964430883d642809c394,GEM_SIGNAL_REVIEW,RUNTIME_PROFILE,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,REVIEW_DUPLICATE_PROMPT_ID,NO_WRITE_UNTIL_DUPLICATE_DECISION,False,False,False,4,1,,duplicate_prompt_id_count=4
MIG-runtime_profile-275743d43e32,RUNTIME_PROFILE,📘 PROMPT_LIBRARY,10,275743d43e3229358209fd21575e472060133555ced60a594f4de50e98f922ca,GEM_RISK_REVIEW,RUNTIME_PROFILE,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,REVIEW_DUPLICATE_PROMPT_ID,NO_WRITE_UNTIL_DUPLICATE_DECISION,False,False,False,4,1,,duplicate_prompt_id_count=4
MIG-runtime_profile-6a5cc4bb5121,RUNTIME_PROFILE,📘 PROMPT_LIBRARY,11,6a5cc4bb512189388e9adbfc8079bbf2c750cbd51902979fdaa347b20bb7a571,QAIC_BRIDGE_READONLY,RUNTIME_PROFILE,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,REVIEW_DUPLICATE_PROMPT_ID,NO_WRITE_UNTIL_DUPLICATE_DECISION,False,False,False,4,1,,duplicate_prompt_id_count=4
MIG-prompt_01_portfolio_analysis-27d9abf63e93,prompt_01_portfolio_analysis,📘 PROMPT_LIBRARY,12,27d9abf63e935285859e5560b075435ba13c9c4591d2ec82c073d652c9025e17,GEM_PORTFOLIO_REVIEW,PROMPT_CONTRACT,📘 PROMPT_LIBRARY,CREATE_VARIANT_ROW_DO_NOT_OVERWRITE_REFERENCE,PROTECT_LOCKED_REFERENCE,NO_OVERWRITE_REFERENCE_CREATE_VARIANT_ONLY_IF_CORRECTED,False,False,True,2,1,,duplicate_prompt_id_count=2 | locked_reference_preserved
MIG-prompt_02_market_analysis-110c65610346,prompt_02_market_analysis,📘 PROMPT_LIBRARY,13,110c65610346300d3fc6b408f8db9cbddff2bd4a3061dfd6f0b73b1de49c8c4b,GEM_MARKET_REVIEW,PROMPT_CONTRACT,📘 PROMPT_LIBRARY,CREATE_VARIANT_ROW_DO_NOT_OVERWRITE_REFERENCE,PROTECT_LOCKED_REFERENCE,NO_OVERWRITE_REFERENCE_CREATE_VARIANT_ONLY_IF_CORRECTED,False,False,True,2,1,,duplicate_prompt_id_count=2 | locked_reference_preserved
MIG-prompt_03_buy_analysis_multi_horizon-312509fe100e,prompt_03_buy_analysis_multi_horizon,📘 PROMPT_LIBRARY,14,312509fe100e7ba73e639c54f29413237d4dc960bbe6046743dc74b8e37922c0,GEM_BUY_REVIEW,PROMPT_CONTRACT,📘 PROMPT_LIBRARY,CREATE_VARIANT_ROW_DO_NOT_OVERWRITE_REFERENCE,PROTECT_LOCKED_REFERENCE,NO_OVERWRITE_REFERENCE_CREATE_VARIANT_ONLY_IF_CORRECTED,False,False,True,2,1,,duplicate_prompt_id_count=2 | locked_reference_preserved
MIG-prompt_04_volatile_leverage_analysis-34056b179351,prompt_04_volatile_leverage_analysis,📘 PROMPT_LIBRARY,15,34056b17935169260ca01d1de78c42f66a6720272e647368d250b23c8a40b925,GEM_VOLATILE_LEVERAGE_REVIEW,PROMPT_CONTRACT,📘 PROMPT_LIBRARY,CREATE_VARIANT_ROW_DO_NOT_OVERWRITE_REFERENCE,PROTECT_LOCKED_REFERENCE,NO_OVERWRITE_REFERENCE_CREATE_VARIANT_ONLY_IF_CORRECTED,False,False,True,2,1,,duplicate_prompt_id_count=2 | locked_reference_preserved
MIG-prompt_05_full_trading_review-0b38afb6453c,prompt_05_full_trading_review,📘 PROMPT_LIBRARY,16,0b38afb6453c3862d05892741a507b6d7d63e3923dca9278667bffa50836c95b,GEM_GENERAL_REVIEW,PROMPT_CONTRACT,📘 PROMPT_LIBRARY,CREATE_VARIANT_ROW_DO_NOT_OVERWRITE_REFERENCE,PROTECT_LOCKED_REFERENCE,NO_OVERWRITE_REFERENCE_CREATE_VARIANT_ONLY_IF_CORRECTED,False,False,True,2,1,,duplicate_prompt_id_count=2 | locked_reference_preserved
MIG-prompt_05_full_trading_review_crypto_trading_investing_v20260612211346-c6f4e58c36ae,prompt_05_full_trading_review__Crypto_Trading_Investing__v20260612211346,📘 PROMPT_LIBRARY,17,c6f4e58c36aebd6a6b10f90d3879d39e7d20b1668cc6663af344dea0c30387b1,GEM_GENERAL_REVIEW,PROMPT_VARIANT,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,READY_FOR_VARIANT_WRITE_REVIEW,APPEND_OR_UPSERT_VARIANT_AFTER_GO,True,True,False,1,1,,
MIG-prompt_01_portfolio_analysis_crypto_trading_investing_qaic_strict_markdown_v1-6fdb6afd9912,prompt_01_portfolio_analysis__Crypto_Trading_Investing__qaic_strict_markdown_v1,📘 PROMPT_LIBRARY,18,6fdb6afd9912ba8d2f25fc6601cc34092419145a4ed2b7278de88fd3ababc609,GEM_PORTFOLIO_REVIEW,PROMPT_VARIANT,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,READY_FOR_VARIANT_WRITE_REVIEW,APPEND_OR_UPSERT_VARIANT_AFTER_GO,True,True,False,1,1,,
MIG-prompt_02_market_analysis_crypto_trading_investing_qaic_strict_markdown_v1-d3aff3ca8002,prompt_02_market_analysis__Crypto_Trading_Investing__qaic_strict_markdown_v1,📘 PROMPT_LIBRARY,19,d3aff3ca8002a4fb591932563ef3995c2e7edf2a1c1290e4ea8247d570936582,GEM_MARKET_REVIEW,PROMPT_VARIANT,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,READY_FOR_VARIANT_WRITE_REVIEW,APPEND_OR_UPSERT_VARIANT_AFTER_GO,True,True,False,1,1,,
MIG-prompt_03_buy_analysis_multi_horizon_crypto_trading_investing_qaic_strict_markdown_v1-8f7ff0b51ec8,prompt_03_buy_analysis_multi_horizon__Crypto_Trading_Investing__qaic_strict_markdown_v1,📘 PROMPT_LIBRARY,20,8f7ff0b51ec8f062977553c459df5f90a9cd7e9692cc2b52ce1a12f6c57ffa9c,GEM_BUY_REVIEW,PROMPT_VARIANT,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,READY_FOR_VARIANT_WRITE_REVIEW,APPEND_OR_UPSERT_VARIANT_AFTER_GO,True,True,False,1,1,,
MIG-prompt_04_volatile_leverage_analysis_crypto_trading_investing_qaic_strict_markdown_v1-c6565832cf57,prompt_04_volatile_leverage_analysis__Crypto_Trading_Investing__qaic_strict_markdown_v1,📘 PROMPT_LIBRARY,21,c6565832cf573002ff53b691ee1d87f7edf82bad6880abe0f9380338a1eb432e,GEM_VOLATILE_LEVERAGE_REVIEW,PROMPT_VARIANT,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,READY_FOR_VARIANT_WRITE_REVIEW,APPEND_OR_UPSERT_VARIANT_AFTER_GO,True,True,False,1,1,,
MIG-prompt_05_full_trading_review_crypto_trading_investing_qaic_strict_markdown_v1-534c8fcb9a5d,prompt_05_full_trading_review__Crypto_Trading_Investing__qaic_strict_markdown_v1,📘 PROMPT_LIBRARY,22,534c8fcb9a5d336e7137d2c299c28445c287cd8e09ef83469dc44f55fd17daf4,GEM_GENERAL_REVIEW,PROMPT_VARIANT,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,READY_FOR_VARIANT_WRITE_REVIEW,APPEND_OR_UPSERT_VARIANT_AFTER_GO,True,True,False,1,1,,
MIG-prompt_05_full_trading_review_crypto_trading_investing_night_watch_v1-8052b8cf5caa,prompt_05_full_trading_review__Crypto_Trading_Investing__night_watch_v1,📘 PROMPT_LIBRARY,23,8052b8cf5caad491112edd5af50904373b50c30788d856eb8a1fe93d74b3026e,GEM_GENERAL_REVIEW,PROMPT_VARIANT,📘 PROMPT_LIBRARY,UPSERT_BY_PROMPT_ID_AFTER_VALIDATION,READY_FOR_VARIANT_WRITE_REVIEW,APPEND_OR_UPSERT_VARIANT_AFTER_GO,True,True,False,1,1,,
